"ARCID","GRID_CODE","OBJECTID","LCOVV11","LCOVV12","LCOVV21","LCOVV22","LCOVV23","LCOVV24","LCOVV31","LCOVV41","LCOVV42","LCOVV43","LCOVV52","LCOVV71","LCOVV81","LCOVV82","LCOVV90","LCOVV95","LCOVV127","Area","HydroID_1","LCOV11","LCOV12","LCOV21","LCOV22","LCOV23","LCOV24","LCOV31","LCOV41","LCOV42","LCOV43","LCOV52","LCOV71","LCOV81","LCOV82","LCOV90","LCOV95","LCOV127","MUKEY","slopegradd","slopegradw","slope_l","slope_r","slope_h","tfact","weg","cokey","om_l","om_r","om_h","dbthirdbar","dbthirdb_1","dbthirdb_2","ksat_l","ksat_r","ksat_h","awc_l","awc_r","awc_h","kffact","cokey_1","brock","wt","uni"
3573,3,3600,0.00332225914,0.00000000000,0.05315614618,0.00177187154,0.00000000000,0.00000000000,0.00000000000,0.21173864895,0.00000000000,0.00155038760,0.00000000000,0.27995570321,0.33599114064,0.10764119601,0.00487264673,0.00000000000,0.00000000000,4046119.79795000000,3600.00000000000,134.42258500000,0.00000000000,2150.76135400000,71.69204500000,0.00000000000,0.00000000000,0.00000000000,8567.19939500000,0.00000000000,62.73054000000,0.00000000000,11327.34313300000,13594.60406100000,4355.29174300000,197.15312400000,0.00000000000,0.00000000000,662715,1.00000000000,1.00000000000,0.00000000000,1.00000000000,1.00000000000,5.00000000000,4,662715:967260,1.00000000000,2.50000000000,4.00000000000,1.40000000000,1.50000000000,1.60000000000,0.00000000000,0.21170000000,0.42340000000,0.12000000000,0.13000000000,0.14000000000,.28,662715:967260,0,15,1230
3576,2,3624,0.00000000000,0.00000000000,0.01846965699,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00791556728,0.00000000000,0.00000000000,0.00000000000,0.42216358839,0.46174142480,0.08970976253,0.00000000000,0.00000000000,0.00000000000,684867.65242400000,3624.00000000000,0.00000000000,0.00000000000,126.49270600000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,54.21116000000,0.00000000000,0.00000000000,0.00000000000,2891.26185700000,3162.31765600000,614.39314500000,0.00000000000,0.00000000000,0.00000000000,662762,13.00000000000,10.50000000000,5.00000000000,13.00000000000,20.00000000000,3.00000000000,7,662762:967839,2.00000000000,3.00000000000,4.00000000000,1.35000000000,1.40000000000,1.45000000000,1.41140000000,2.82290000000,4.23430000000,0.21000000000,0.22000000000,0.23000000000,.32,662762:967839,31,0,1231
3577,1,3624,0.00000000000,0.00000000000,0.01846965699,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00791556728,0.00000000000,0.00000000000,0.00000000000,0.42216358839,0.46174142480,0.08970976253,0.00000000000,0.00000000000,0.00000000000,684867.65242400000,3624.00000000000,0.00000000000,0.00000000000,126.49270600000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,54.21116000000,0.00000000000,0.00000000000,0.00000000000,2891.26185700000,3162.31765600000,614.39314500000,0.00000000000,0.00000000000,0.00000000000,662762,13.00000000000,10.50000000000,5.00000000000,13.00000000000,20.00000000000,3.00000000000,7,662762:967839,2.00000000000,3.00000000000,4.00000000000,1.35000000000,1.40000000000,1.45000000000,1.41140000000,2.82290000000,4.23430000000,0.21000000000,0.22000000000,0.23000000000,.32,662762:967839,31,0,1232
3578,1,3612,0.00883720930,0.00000000000,0.04015503876,0.00465116279,0.00000000000,0.00000000000,0.00000000000,0.08589147287,0.00000000000,0.00000000000,0.00744186047,0.05736434109,0.62728682171,0.16666666667,0.00155038760,0.00015503876,0.00000000000,5798642.41636000000,3612.00000000000,512.43816700000,0.00000000000,2328.44711000000,269.70429800000,0.00000000000,0.00000000000,0.00000000000,4980.53937800000,0.00000000000,0.00000000000,431.52687800000,3326.35301400000,36374.11971600000,9664.40402700000,89.90143300000,8.99014300000,0.00000000000,662714,2.00000000000,3.40000000000,1.00000000000,2.00000000000,3.00000000000,3.00000000000,5,662714:967245,1.00000000000,2.50000000000,4.00000000000,1.40000000000,1.45000000000,1.50000000000,4.23430000000,9.17430000000,14.11430000000,0.20000000000,0.21000000000,0.22000000000,.28,662714:967245,0,76,1233
3579,1,3601,0.00000000000,0.00000000000,0.03108567894,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.06101144448,0.00000000000,0.00000000000,0.00000000000,0.75224249923,0.08900402103,0.06665635633,0.00000000000,0.00000000000,0.00000000000,11636429.95020000000,3601.00000000000,0.00000000000,0.00000000000,3617.26325400000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,7099.55399900000,0.00000000000,0.00000000000,0.00000000000,87534.17147900000,10356.89056000000,7756.42021200000,0.00000000000,0.00000000000,0.00000000000,662726,15.00000000000,8.50000000000,5.00000000000,15.00000000000,25.00000000000,3.00000000000,6,662726:967423,0.50000000000,1.75000000000,3.00000000000,1.30000000000,1.40000000000,1.50000000000,4.23430000000,9.17430000000,14.11430000000,0.12000000000,0.17000000000,0.22000000000,.43,662726:967423,0,46,1234
3585,1,3526,0.00885956645,0.00000000000,0.03242224317,0.00216776626,0.00000000000,0.00000000000,0.00000000000,0.08661639962,0.00000000000,0.00226201697,0.00000000000,0.04090480679,0.69934024505,0.12610744581,0.00131950990,0.00000000000,0.00000000000,9543312.96569000000,3526.00000000000,845.49615400000,0.00000000000,3094.15613600000,206.87671900000,0.00000000000,0.00000000000,0.00000000000,8266.07409500000,0.00000000000,215.87135900000,0.00000000000,3903.67373000000,66740.22828000000,12034.82822700000,125.92495900000,0.00000000000,0.00000000000,662711,1.00000000000,1.80000000000,1.00000000000,2.00000000000,3.00000000000,4.00000000000,6,662711:967215,2.00000000000,3.00000000000,4.00000000000,1.35000000000,1.40000000000,1.45000000000,1.41140000000,2.82290000000,4.23430000000,0.22000000000,0.23000000000,0.24000000000,.43,662711:967215,0,31,1235
3588,3,3525,0.00309717383,0.00000000000,0.04555426507,0.01348561105,0.00122596464,0.00000000000,0.00000000000,0.10949799974,0.00000000000,0.01425990450,0.00000000000,0.07484836753,0.46844754162,0.26848625629,0.00109691573,0.00000000000,0.00000000000,13946671.95580000000,3525.00000000000,431.95267400000,0.00000000000,6353.30391100000,1880.79393400000,170.98126700000,0.00000000000,0.00000000000,15271.32682200000,0.00000000000,1988.78210200000,0.00000000000,10438.85628400000,65332.84191499990,37444.89741100000,152.98323800000,0.00000000000,0.00000000000,662715,1.00000000000,1.00000000000,0.00000000000,1.00000000000,1.00000000000,5.00000000000,4,662715:967260,1.00000000000,2.50000000000,4.00000000000,1.40000000000,1.50000000000,1.60000000000,0.00000000000,0.21170000000,0.42340000000,0.12000000000,0.13000000000,0.14000000000,.28,662715:967260,0,15,1236
3589,1,3622,0.01435979258,0.00000000000,0.07977662545,0.03211009174,0.00199441564,0.00000000000,0.00000000000,0.13881132828,0.00000000000,0.01176705225,0.00000000000,0.11128839250,0.49481451935,0.11507778221,0.00000000000,0.00000000000,0.00000000000,4519508.69158000000,3622.00000000000,648.99207400000,0.00000000000,3605.51152100000,1451.21838700000,90.13778800000,0.00000000000,0.00000000000,6273.59004700000,0.00000000000,531.81294900000,0.00000000000,5029.68857200000,22363.18520900000,5200.95036900000,0.00000000000,0.00000000000,0.00000000000,662715,1.00000000000,1.00000000000,0.00000000000,1.00000000000,1.00000000000,5.00000000000,4,662715:967260,1.00000000000,2.50000000000,4.00000000000,1.40000000000,1.50000000000,1.60000000000,0.00000000000,0.21170000000,0.42340000000,0.12000000000,0.13000000000,0.14000000000,.28,662715:967260,0,15,1237
3590,1,3630,0.00000000000,0.00000000000,0.03735990037,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.09651307597,0.00000000000,0.00000000000,0.00000000000,0.00809464508,0.68804483188,0.16998754670,0.00000000000,0.00000000000,0.00000000000,1446774.98643000000,3630.00000000000,0.00000000000,0.00000000000,540.51369400000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,1396.32704200000,0.00000000000,0.00000000000,0.00000000000,117.11130000000,9954.46052300000,2459.33730600000,0.00000000000,0.00000000000,0.00000000000,662720,3.00000000000,2.40000000000,0.00000000000,1.00000000000,1.00000000000,5.00000000000,4,662720:967335,2.00000000000,3.00000000000,4.00000000000,1.20000000000,1.25000000000,1.30000000000,0.00000000000,0.21170000000,0.42340000000,0.12000000000,0.13000000000,0.14000000000,.28,662720:967335,77,76,1238
3593,2,3611,0.00000000000,0.00000000000,0.05333550807,0.01516881422,0.00000000000,0.00000000000,0.00000000000,0.06507910618,0.00000000000,0.00212037188,0.00000000000,0.18186266514,0.54053172403,0.14190181047,0.00000000000,0.00000000000,0.00000000000,5522322.33669000000,3611.00000000000,0.00000000000,0.00000000000,2945.35867600000,837.67081600000,0.00000000000,0.00000000000,0.00000000000,3593.87801700000,0.00000000000,117.09377000000,0.00000000000,10043.04257900000,29849.90413300000,7836.27537600000,0.00000000000,0.00000000000,0.00000000000,671361,3.00000000000,4.10000000000,1.00000000000,3.00000000000,5.00000000000,3.00000000000,3,671361:1015121,1.00000000000,1.50000000000,2.00000000000,1.40000000000,1.45000000000,1.50000000000,14.11430000000,28.22870100000,42.34299900000,0.15000000000,0.17000000000,0.18000000000,.20,671361:1015121,0,76,1239
